"age","parity","Freq","percentage"
"15-19",0,5172.73469,16.0863745828307
"15-19",1,739.35388,2.2992718891889
"15-19",2,106.625318,0.331587623984914
"15-19",3,5.76423,0.0179258300528826
"15-19",4,0.834058,0.00259378650092851
"20-24",0,2431.043524,7.56015513995533
"20-24",1,2183.016314,6.78883032901777
"20-24",2,1063.495377,3.30729991518872
"20-24",3,251.768042,0.782958197996783
"20-24",4,57.992256,0.180346607515533
"20-24",5,11.688627,0.0363497537665108
"20-24",6,2.170902,0.00675115675701054
"25-29",0,649.645153,2.02029214784228
"25-29",1,1638.982291,5.0969718432731
"25-29",2,1685.660677,5.24213413113789
"25-29",3,990.916038,3.08158982099321
"25-29",4,479.450466,1.49101399012381
"25-29",5,165.411818,0.514404202852131
"25-29",6,77.278129,0.24032257686781
"30-34",0,224.374568,0.697768890928527
"30-34",1,574.393555,1.78627175709523
"30-34",2,1267.203251,3.94079870509787
"30-34",3,1086.536278,3.37895341888154
"30-34",4,683.154286,2.12450017274368
"30-34",5,365.561584,1.13683784801206
"30-34",6,328.4128,1.02131109272033
"35-39",0,99.318134,0.308863454659758
"35-39",1,297.687141,0.925759225168754
"35-39",2,897.744301,2.79184067441269
"35-39",3,1093.506104,3.40062845897782
"35-39",4,807.303635,2.51058472026348
"35-39",5,500.057367,1.55509814451088
"35-39",6,615.06747,1.9127611039595
"40-44",0,63.339474,0.196975597185222
"40-44",1,194.465342,0.604755998956961
"40-44",2,520.501561,1.61867630624491
"40-44",3,693.321509,2.15611860427882
"40-44",4,590.456974,1.83622641176069
"40-44",5,405.169782,1.26001298607021
"40-44",6,616.641254,1.91765531958308
"45-49",0,63.358326,0.197034223879188
"45-49",1,146.369618,0.455186017416609
"45-49",2,375.886701,1.16894730454279
"45-49",3,496.955286,1.54545117053234
"45-49",4,443.796492,1.3801358539922
"45-49",5,349.521756,1.08695655756989
"45-49",6,642.064153,1.99671645470878
