"estimate","coef","se","method","functionform"
0.510644765328043,"shape",0.0246087800454794,"None","weibull"
3.16074581975685,"scale",0.035274191349386,"None","weibull"
-0.198897334621222,"age_grp_fact(0,18]",0.0664847439624961,"None","weibull"
-0.027971960282084,"age_grp_fact(18,20]",0.0645364394759547,"None","weibull"
0,"age_grp_fact(20,25]",0,"None","weibull"
0.180524996672145,"age_grp_fact(25,35]",0.0463207163664761,"None","weibull"
0.774141758393867,"age_grp_fact(35,50]",0.0647505971879932,"None","weibull"
0.529973094440477,"shape",0.234607201817755,"Pill","gamma"
-1.5317477218548,"rate",0.331302178187215,"Pill","gamma"
-0.511485641084395,"age_grp_fact(0,18]",0.22632722538366,"Pill","lnorm"
0.269778073597479,"age_grp_fact(18,20]",0.585231946019444,"Pill","gamma"
0,"age_grp_fact(20,25]",0,"Pill","gamma"
-0.772572180157691,"age_grp_fact(25,35]",0.306888583770169,"Pill","gamma"
-1.49236336245683,"age_grp_fact(35,50]",0.556250630449796,"Pill","gamma"
0.248250789954533,"shape",0.43987976634871,"IUD","gamma"
-3.06988411534674,"rate",1.05814090671366,"IUD","gamma"
-0.0133930573364375,"age_grp_fact(0,18]",1.04446593597472,"IUD","exponential"
-0.914941507473389,"age_grp_fact(18,20]",1.04446593597472,"IUD","exponential"
0,"age_grp_fact(20,25]",0,"IUD","exponential"
-0.432258804396727,"age_grp_fact(25,35]",0.934209218736262,"IUD","gamma"
-0.925200182144578,"age_grp_fact(35,50]",1.19695492630441,"IUD","gamma"
2.12525987074828,"meanlog",0.185128081412143,"Injectable","lnorm"
-0.162656498295839,"sdlog",0.0851122212122306,"Injectable","lnorm"
-0.760478349732453,"age_grp_fact(0,18]",0.524442071552136,"Injectable","lnorm"
-0.489371685174855,"age_grp_fact(18,20]",0.342767986658019,"Injectable","lnorm"
0,"age_grp_fact(20,25]",0,"Injectable","lnorm"
-0.00798441525004799,"age_grp_fact(25,35]",0.224849854170551,"Injectable","lnorm"
0.284371030885253,"age_grp_fact(35,50]",0.393263202796679,"Injectable","lnorm"
-0.756172256504286,"shape",0.781500922165784,"Condom","gamma"
-3.15627440320114,"rate",2.39555668100509,"Condom","gamma"
-0.696951146301856,"age_grp_fact(0,18]",0.156383530320152,"Condom","lnorm"
-0.216739224241519,"age_grp_fact(18,20]",0.169113964140299,"Condom","lnorm"
0,"age_grp_fact(20,25]",0,"Condom","lnorm"
-1.46241336677724,"age_grp_fact(25,35]",2.47141516784694,"Condom","gamma"
-13.2002528967459,"age_grp_fact(35,50]",41.2122766314147,"Condom","gamma"
2.67505630103775,"meanlog",0.0988607110554681,"Implant","lnorm"
-0.49435340019834,"sdlog",0.0988607110554681,"Implant","lnorm"
-0.883296831798773,"age_grp_fact(0,18]",0.0988607110554681,"Implant","lnorm"
3.90809851561332,"age_grp_fact(18,20]",988.607110554668,"Implant","lnorm"
0,"age_grp_fact(20,25]",0,"Implant","lnorm"
0.963984289164401,"age_grp_fact(25,35]",0.0988607110554681,"Implant","lnorm"
0.699287386070004,"age_grp_fact(35,50]",0.0988607110554681,"Implant","lnorm"
1.65925956192739,"shape",0.398291354643708,"Other.trad","gamma"
0.966112634721318,"rate",0.590690762080714,"Other.trad","gamma"
0.0249053578111584,"age_grp_fact(0,18]",0.194024536897656,"Other.trad","llogis"
-0.968003820556687,"age_grp_fact(18,20]",0.527422752460753,"Other.trad","gamma"
0,"age_grp_fact(20,25]",0,"Other.trad","gamma"
-2.09717968716642,"age_grp_fact(25,35]",0.480886246726234,"Other.trad","gamma"
-1.58293788517225,"age_grp_fact(35,50]",0.499929449713825,"Other.trad","gamma"
16.5821018521153,"shape",0.250751056371893,"Other.mod","gamma"
0.90510317623466,"rate",0.125375472661024,"Other.mod","gamma"
0.247202803331538,"age_grp_fact(0,18]",0.354368062776311,"Other.mod","lnorm"
1.20755131877825,"age_grp_fact(18,20]",0.441304190534945,"Other.mod","lnorm"
0,"age_grp_fact(20,25]",0,"Other.mod","lnorm"
-0.0561526965065292,"age_grp_fact(25,35]",0.232813126763351,"Other.mod","lnorm"
14.5783864262409,"age_grp_fact(35,50]",0.12537561569953,"Other.mod","gamma"
